Upload_logger 2022-12-28 00:12:20,528 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-36.userapi.com/c10418/u138597392/-6/w_124e5b39.jpg
Upload_logger 2022-12-28 00:12:22,022 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-46.userapi.com/impf/c303214/v303214392/21ec/UjdUfF_lzNU.jpg?size=1280x960&quality=96&sign=742a7bd128b9a46c6a54417350bdeb0b&c_uniq_tag=mrpfeuTYzLZ38TdSjv8wxCdYjHjA2dHYZJDKokTNJvo&type=album
Upload_logger 2022-12-28 00:12:22,468 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-84.userapi.com/impf/-b5ek0iYXLv1AQPABBvC8uAJdJIVrdt8aT1ang/zAdzpu0psqY.jpg?size=1280x960&quality=96&sign=95c3b60ca62f32fb53d7cbb02dca46de&c_uniq_tag=_8ri2-_w1rEznsWzJBOe3g0eYgMbix9VqPq4-XrZKao&type=album
Upload_logger 2022-12-28 00:12:23,305 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-85.userapi.com/impf/-Kw1a94beM31R1kGjmOPIirc2k_9vauV6PZKPA/bo1W410_AKs.jpg?size=2560x1920&quality=96&sign=3fdc59e451c3e37f8894f81d863586ca&c_uniq_tag=tLpdGMf-3UpABgiq5xYNFVhgp-mzeGlCenpsALltRyA&type=album
Upload_logger 2022-12-28 00:12:23,806 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-35.userapi.com/impf/Bnd8sIdVoWxlTdHhRHr5enF053EiaJtac2s1Cg/t9OQ9f9eOAc.jpg?size=2560x1920&quality=96&sign=7e8927f65e5a41cce3bb3cc79fa50e5e&c_uniq_tag=SspXs_KNXq7aQuLllmuuWk-pwCBBbYyYulbhQBuEyFU&type=album
Upload_logger 2022-12-28 00:12:24,098 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-5.userapi.com/impf/VgVl33lgyZOWth_UBxJh8oD1xKqqUWuueKMofQ/iX8btzOnEiQ.jpg?size=592x464&quality=96&sign=66c7dc5ec632df3f896575fecba960e5&c_uniq_tag=zSb3-W0T-gc6CzY09nBdmbcGOnO2OQ1JBlExIPhi728&type=album
Upload_logger 2022-12-28 00:12:25,465 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-18.userapi.com/impf/Xgu1zFqNuObnHBFr8mcteP6aGa7bm2olpy_3ng/eF3oU4R4BHU.jpg?size=2560x1920&quality=96&sign=b5a44037491ece2b9cb030537c71f13d&c_uniq_tag=S5V3pR5eWFFpw8Kd5lgn1M1TxRAE3YGZSqbLVO-9v-s&type=album
Upload_logger 2022-12-28 00:12:26,774 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-15.userapi.com/impf/EXhHNvKbwTMuvrT9vnxm2z40XT-erPYrpC0anA/qF5qAYog-4Q.jpg?size=1280x851&quality=96&sign=d0ff160ab1f19f8081f9fdff911e6655&c_uniq_tag=KTX7QA5fDhca1B9pQBA5qLXHsmg8FIfppUsBLtBKoiI&type=album
Upload_logger 2022-12-28 00:12:27,940 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-71.userapi.com/impf/fTNn1xLif5PunJMORRG6oL1nYNN8M2FEmRy4iA/iPC5pi9IzKg.jpg?size=2560x1920&quality=96&sign=6486c52af4e82442537a9aba442d5639&c_uniq_tag=Wa7IouzngaC3tnKNu985w9dTDfFhehkh6C5miwSPOGk&type=album
Upload_logger 2022-12-28 00:12:29,563 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-83.userapi.com/impf/_CVyhywWvQpufkG6NehWOwTQrP1CM1L_s4UQEw/GuA9iTIRFn0.jpg?size=1280x960&quality=96&sign=dece5053b4b915abeb114723f8be2886&c_uniq_tag=GpcrnPtUrwRDmfoa0O6IM4dEXkoijB47DJgr_DEDEOA&type=album
Upload_logger 2022-12-28 00:12:30,958 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-85.userapi.com/impf/HbD21nVilLda2NSxd7WYHlnWGGogzCMCcS3rbg/sEe8Z7Qjx9k.jpg?size=1280x960&quality=96&sign=115d59d034fab4197b2ce1942edd67a8&c_uniq_tag=6svTUPhEsOQFKW7KHY38TSGQHqbscHYY0LLbRvJ7Ylw&type=album
Upload_logger 2022-12-28 00:12:32,205 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-56.userapi.com/impf/c308628/v308628813/6760/8VNQZ1D7DxA.jpg?size=1024x768&quality=96&sign=86724cc1126e7572f1210a41317ec628&c_uniq_tag=aXzcwsEOiQRTlCjre9sRLXUtw-MOc9ML38nnz0kHoR4&type=album
Upload_logger 2022-12-28 00:12:33,274 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-18.userapi.com/impf/5wK0JkQ3XPPwvMGNIHUPstj6iu_WKJ7BgoDcJg/8lbcmSRhKVI.jpg?size=2560x1701&quality=96&sign=e08562ae1785854bf71c5d6833309799&c_uniq_tag=732F5OZLO9Vaz2e5gvula7tCkZ3CYbIFRFYDUI20vjE&type=album
Upload_logger 2022-12-28 00:12:34,374 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-47.userapi.com/impf/gjcB8qWDIZmu-wL-EWRm88JzgPeL-1Qla6qurg/o_YDpB7-8C8.jpg?size=1280x960&quality=96&sign=3c38149f8b994e8d6bfb425cb8bfd10f&c_uniq_tag=zZlMHOKrHSi4pE5IMLAOA9ppJBE0qeLaNLb_1L4qgOM&type=album
Upload_logger 2022-12-28 00:12:35,309 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-45.userapi.com/impf/iUp8Z5l6UDePebDwH8E3KYZyguNjy0Tqovm4Aw/zbcrhEWvVz0.jpg?size=2560x1920&quality=96&sign=59993a8a124cae094679d9b32aa2f14f&c_uniq_tag=I-UR3WH66kgCcTeat9x444BJ-WEomUtwayCnQ9gwYkE&type=album
Upload_logger 2022-12-28 00:12:36,461 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-30.userapi.com/impf/hdJ9UetBMvnzFO8TRqgPdT4N4tfWTqCrGqVcuQ/PWZefOJskXk.jpg?size=2560x1920&quality=96&sign=be582595457a5ec2d20147f04df3c7e6&c_uniq_tag=VsdEcPyT0fj_yZB9Lvd51qNYN6SyhVpg7IRHhWe4sRw&type=album
Upload_logger 2022-12-28 00:12:36,987 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-87.userapi.com/impf/E9oMNvwauIjKTJphKOLz-N-5stWOKkX6K7WUAA/kqnPzyPxNMo.jpg?size=1280x960&quality=96&sign=86ed6263e4b921227dfa874fa8afee3f&c_uniq_tag=zJtZNufX3Rzxt-B8fIc0QBtLvPz8ip-qbQSLlj8kJXw&type=album
Upload_logger 2022-12-28 00:12:38,172 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-5.userapi.com/impf/TvMw3FMOA77fMYv0-shj5Rq_QN5Z9eRDgvtTVA/q530lU-0P9k.jpg?size=720x960&quality=96&sign=2884415c1f7ec7115d4f357a11f59c53&c_uniq_tag=u-3riFIyfiDi1s2hgzZZHsPknZ0ajUbu4PT9T8SBIMU&type=album
Upload_logger 2022-12-28 00:12:39,065 INFO The image was moved to the Ya.Disk folder by the link: https://sun9-55.userapi.com/impf/8tkkH1Lds7k0s5mL15E0k6l6BL36vSHLrvyd0A/t2DWOmMB6Qo.jpg?size=716x503&quality=96&sign=6d8198440eda8d4500f93024340eabe8&c_uniq_tag=PRKjhGQtNvP6Q97Nwl1zWfUb3KDKXJUUHeGp3wph3GA&type=album
